localdatetime,icon,summary,precip,temp,time,uv,wind
2019-04-15-00-21-14,b'partly-cloudy-night',0,Mostly Cloudy,60.82,1555302074,0,6.85
2019-04-16-04-41-50,b'clear-night',0,Clear,44.14,1555404110,0,6.87
2019-04-15-15-41-33,b'cloudy',0,Overcast,54.19,1555357293,2,12.9
2019-04-17-14-47-30,b'partly-cloudy-day',0,Partly Cloudy,62.52,1555526850,5,5.52
2019-04-15-15-11-33,b'partly-cloudy-day',0,Mostly Cloudy,54.63,1555355493,3,8.91
2019-04-19-04-19-46,b'clear-night',0,Clear,58.67,1555661986,0,8.78
2019-04-18-20-28-07,b'partly-cloudy-night',0,Partly Cloudy,57.11,1555633687,0,3.95
2019-04-16-23-47-12,b'rain',1,Light Rain,55.5,1555472832,0,7.64
2019-04-16-00-21-45,b'partly-cloudy-night',0,Mostly Cloudy,46.77,1555388505,0,11.19
2019-04-16-07-31-53,b'clear-day',0,Clear,45.2,1555414313,0,7.71
2019-04-16-08-06-54,b'clear-day',0,Clear,46.44,1555416414,1,7.3
2019-04-18-20-23-06,b'partly-cloudy-night',0,Partly Cloudy,57.14,1555633386,0,3.88
2019-04-17-14-22-30,b'partly-cloudy-day',0,Partly Cloudy,60.94,1555525350,5,4.73
2019-04-18-14-47-59,b'partly-cloudy-day',0,Mostly Cloudy,55.58,1555613279,4,5.77
2019-04-17-09-32-24,b'partly-cloudy-day',0,Mostly Cloudy,53.77,1555507944,2,3.26
2019-04-18-01-57-43,b'cloudy',0.31,Overcast,51.75,1555567063,0,3.12
2019-04-18-04-52-47,b'partly-cloudy-night',0,Mostly Cloudy,51.49,1555577567,0,4.15
2019-04-18-03-12-45,b'cloudy',0,Overcast,52.06,1555571565,0,3.91
2019-04-18-07-12-50,b'cloudy',0,Overcast,51.11,1555585970,0,6.36
2019-04-16-18-07-05,b'clear-day',0,Clear,65.23,1555452425,0,11.42
2019-04-18-12-32-56,b'cloudy',0.34,Overcast,54.69,1555605176,4,6.45
2019-04-18-22-49-39,b'clear-night',0,Clear,56.43,1555642179,0,2.18
2019-04-18-20-53-07,b'clear-night',0,Clear,57.8,1555635187,0,4.3
2019-04-17-12-07-27,b'partly-cloudy-day',0,Mostly Cloudy,58.56,1555517247,5,4.27
2019-04-17-11-32-27,b'cloudy',0,Overcast,56.9,1555515147,3,5.02
2019-04-18-03-52-46,b'partly-cloudy-night',0,Mostly Cloudy,51.52,1555573966,0,7.16
2019-04-18-08-02-51,b'cloudy',0,Overcast,53.14,1555588971,1,6.06
2019-04-16-22-42-11,b'cloudy',0,Overcast,57.7,1555468931,0,8.62
2019-04-18-00-32-42,b'rain',0.83,Drizzle,50.92,1555561962,0,3.76
2019-04-17-15-52-31,b'clear-day',0,Clear,60.29,1555530751,4,7.21
2019-04-17-06-12-20,b'cloudy',0,Overcast,48.06,1555495940,0,3.11
2019-04-16-17-47-05,b'clear-day',0,Clear,65.53,1555451225,1,11.75
2019-04-16-22-47-11,b'rain',1,Light Rain,57.43,1555469231,0,8.03
2019-04-18-04-47-47,b'partly-cloudy-night',0,Mostly Cloudy,51.03,1555577267,0,7.18
2019-04-17-04-42-19,b'partly-cloudy-night',0.61,Mostly Cloudy,49.27,1555490539,0,3.97
2019-04-17-09-17-24,b'cloudy',0,Overcast,53.15,1555507044,2,3.14
2019-04-17-08-47-24,b'cloudy',0,Overcast,51.61,1555505244,1,2.89
2019-04-18-00-52-42,b'rain',0.83,Drizzle,50.68,1555563162,0,3.32
2019-04-17-07-47-22,b'partly-cloudy-day',0,Mostly Cloudy,49.96,1555501642,0,0.72
2019-04-17-10-12-25,b'cloudy',0,Overcast,55.42,1555510345,3,5.3
2019-04-18-08-37-52,b'cloudy',0,Overcast,53.26,1555591072,1,7.67
2019-04-16-21-17-09,b'cloudy',0,Overcast,58.96,1555463829,0,8.28
2019-04-16-21-02-09,b'cloudy',0,Overcast,59.39,1555462929,0,8.33
2019-04-17-15-02-31,b'partly-cloudy-day',0,Partly Cloudy,62.94,1555527751,5,5.99
2019-04-18-05-37-48,b'partly-cloudy-night',0.02,Mostly Cloudy,51.1,1555580268,0,5.12
